sequence,16S_rRNA_Count
6727bb2c91a7a6b0489e814af3bb9cbc,1
e55c73baf04bf19fd76012fe1d701e53,1
87f3bfa5ac6395904b763c5ccb9fb49e,1
a9342cdff1f4bcee119c57b05a43c241,1
285e160d99e5861fe736d8a031d9ffac,1
1ae36e82267187a771ba419e4b948f18,2
f179023b9983476c2848d385886b9940,1
b9be7d3bf7bff8ee2ef6a31d8cf7a1c9,1
fbd148d984f2ded262bb69156697c4a5,1
43350f5a2eda093927072abfcecef4ae,1
1b64ad6369f534390610ed526eddc07e,1
5951417044fb8c65eadbd1a713a486a9,1
34db7453e20dd3c340542b97cec8b306,1
d357bdfff356ba319e5044648d641ad4,1
c11c7188fdadce7bb354b5b6a5a7a05b,1
5da3f1debfb1d7f54fca43c211e9cc06,1
6e376b99e8e4f56c46fbe3eeac774eea,3
dd3535c3e88a821d90fb38afae6bd79c,1
4ef488a12ffc8509f69af2e49b65ca6a,1
09df15e27c0c6de0eaac21befabbb15f,2
5d9a173766980f8bcc696d2ccd3a7be4,1
662a20bc97087502d5b5a13f53478fb9,2
aa6b16aba1fb6954b9f405859b318d24,1
04d5f32c92e5a2b1bda92b238013c8a5,1
193906c82f06d5a61642f606ce64d9df,1
d72817ca6a645a752a90bd9d83d03bc4,2
730231d559e2b587bf190db956c49509,1
a6177e2f13fd628a68d94d59088d8a15,1
0b7db30cc482f2afeca4eb315130cf1f,1
b8fbac133f6e66645faa96c1142def29,1
b805f701f643071f993eda32425873ad,1
8d166f8864673c8ca4af14c17629735d,1
148a28e89df6d30e2d311ef89bd6a2d2,1
bfb69bb54a7c0342b53ce177cc5cdf5a,1
fc4c7674a479c48d84d853e6c7e3a2aa,1
14999b4ed77f2af165e4f46761fe21a6,3
9b6962a8ba271cc02a18ed11ab73e5d4,1
fa0815e0c6cfddd26e57f2ac53d488b4,1
4c50802709b7bf47d1eefb8517051e9a,1
9145f1b137b481a1d5d945285d3722ed,1
6aeca9cecd980f002dc067151e46cd5c,1
7e9502a664cf4f9e5ebbfa583826584f,1
b2b6b2a0a613677fd4a98272098e3a07,1
c6b25d0515f6c3f002d1c7d13718280d,1
70c72d08c6078ed6b108da3db0f5ad3e,2
e14ccbce107960636dfac12b2da61cd7,1
36bfae5c7dcd58260829b535f980ff47,1
8dd191a0e7d8a364b5c54eddfb021f6b,1
b33cb2dc5c6095b69e44fe08a4cb4e24,2
35bab75388c63e0629576306b6bf7e6e,2
bcf1e799654af19b49ffa445b396a553,1
b4e1191fa64871b0695efd946bce954c,1
a24f0d2898107880b35215a34000d3ab,1
b162cf171517d7a5bd325857107af8da,1
6f593ffc9f283b54327b7646fe8d186d,1
5583e6e9039bafd2d4ac54a5b5f3f733,1
68fb0828ecfc022f5b9fdaf3814d1949,1
d4888c60640cadac28e66a01454fcbd4,1
0e5c0cc440bc2bbd860b31eed0a3a09c,1
